 ordergroup |  ordergroupmember   |   uom    |  qty  | unroundedqty | type |   source   |    dest    
------------+---------------------+----------+-------+--------------+------+------------+------------
 3337022838 |                     | 33401002 |   200 |  197.2413792 |    1 |            |  
 3337022838 |                     | 33401002 |   200 |  197.2413792 |    2 |            |  
 3337022838 |                     | 33401002 |   200 |  197.2413792 |    3 |            |  
 3337022838 |                     | 33401003 |   200 |  197.2413792 |    1 |            |  
 3337022838 |                     | 33401003 |   200 |  197.2413792 |    2 |            |  
 3337022838 |                     | 33401003 |   200 |  197.2413792 |    3 |            |  
 3337022838 | OOPT-GEX334.01-OGM1 | 33401002 |   100 |   98.6206896 |    1 | 661835420  |  
 3337022838 | OOPT-GEX334.01-OGM1 | 33401002 |   100 |   98.6206896 |    2 | 661835420  |  
 3337022838 | OOPT-GEX334.01-OGM1 | 33401002 |   100 |   98.6206896 |    3 | 661835420  |  
 3337022838 | OOPT-GEX334.01-OGM1 | 33401003 |   100 |   98.6206896 |    1 | 661835420  |  
 3337022838 | OOPT-GEX334.01-OGM1 | 33401003 |   100 |   98.6206896 |    2 | 661835420  |  
 3337022838 | OOPT-GEX334.01-OGM1 | 33401003 |   100 |   98.6206896 |    3 | 661835420  |  
 3337022838 | OOPT-GEX334.01-OGM2 | 33401002 |   100 |   98.6206896 |    1 | 661835421  |  
 3337022838 | OOPT-GEX334.01-OGM2 | 33401002 |   100 |   98.6206896 |    2 | 661835421  |  
 3337022838 | OOPT-GEX334.01-OGM2 | 33401002 |   100 |   98.6206896 |    3 | 661835421  |  
 3337022838 | OOPT-GEX334.01-OGM2 | 33401003 |   100 |   98.6206896 |    1 | 661835421  |  
 3337022838 | OOPT-GEX334.01-OGM2 | 33401003 |   100 |   98.6206896 |    2 | 661835421  |  
 3337022838 | OOPT-GEX334.01-OGM2 | 33401003 |   100 |   98.6206896 |    3 | 661835421  |  
 3337946359 |                     | 33402002 |   190 |  187.2413792 |    1 |            |  
 3337946359 |                     | 33402002 |   190 |  187.2413792 |    2 |            |  
 3337946359 |                     | 33402002 |   190 |  187.2413792 |    3 |            |  
 3337946359 |                     | 33402003 |   190 |  187.2413792 |    1 |            |  
 3337946359 |                     | 33402003 |   190 |  187.2413792 |    2 |            |  
 3337946359 |                     | 33402003 |   190 |  187.2413792 |    3 |            |  
 3337946359 | OOPT-GEX334.02-OGM1 | 33402002 |    90 |   88.6206896 |    1 | 661865211  |  
 3337946359 | OOPT-GEX334.02-OGM1 | 33402002 |    90 |   88.6206896 |    2 | 661865211  |  
 3337946359 | OOPT-GEX334.02-OGM1 | 33402002 |    90 |   88.6206896 |    3 | 661865211  |  
 3337946359 | OOPT-GEX334.02-OGM1 | 33402003 |    90 |   88.6206896 |    1 | 661865211  |  
 3337946359 | OOPT-GEX334.02-OGM1 | 33402003 |    90 |   88.6206896 |    2 | 661865211  |  
 3337946359 | OOPT-GEX334.02-OGM1 | 33402003 |    90 |   88.6206896 |    3 | 661865211  |  
 3337946359 | OOPT-GEX334.02-OGM2 | 33402002 |   100 |   98.6206896 |    1 | 661865212  |  
 3337946359 | OOPT-GEX334.02-OGM2 | 33402002 |   100 |   98.6206896 |    2 | 661865212  |  
 3337946359 | OOPT-GEX334.02-OGM2 | 33402002 |   100 |   98.6206896 |    3 | 661865212  |  
 3337946359 | OOPT-GEX334.02-OGM2 | 33402003 |   100 |   98.6206896 |    1 | 661865212  |  
 3337946359 | OOPT-GEX334.02-OGM2 | 33402003 |   100 |   98.6206896 |    2 | 661865212  |  
 3337946359 | OOPT-GEX334.02-OGM2 | 33402003 |   100 |   98.6206896 |    3 | 661865212  |  
 3338869880 |                     | 33403002 |   175 |  172.7586206 |    1 |            |  
 3338869880 |                     | 33403002 |   175 |  172.7586206 |    2 |            |  
 3338869880 |                     | 33403002 |   175 |  172.7586206 |    3 |            |  
 3338869880 |                     | 33403003 |   175 |  172.7586206 |    1 |            |  
 3338869880 |                     | 33403003 |   175 |  172.7586206 |    2 |            |  
 3338869880 |                     | 33403003 |   175 |  172.7586206 |    3 |            |  
 3338869880 | OOPT-GEX334.03-OGM1 | 33403002 |   100 |   98.6206896 |    1 | 661895002  |  
 3338869880 | OOPT-GEX334.03-OGM1 | 33403002 |   100 |   98.6206896 |    2 | 661895002  |  
 3338869880 | OOPT-GEX334.03-OGM1 | 33403002 |   100 |   98.6206896 |    3 | 661895002  |  
 3338869880 | OOPT-GEX334.03-OGM1 | 33403003 |   100 |   98.6206896 |    1 | 661895002  |  
 3338869880 | OOPT-GEX334.03-OGM1 | 33403003 |   100 |   98.6206896 |    2 | 661895002  |  
 3338869880 | OOPT-GEX334.03-OGM1 | 33403003 |   100 |   98.6206896 |    3 | 661895002  |  
 3338869880 | OOPT-GEX334.03-OGM2 | 33403002 |    75 |    74.137931 |    1 | 661895003  |  
 3338869880 | OOPT-GEX334.03-OGM2 | 33403002 |    75 |    74.137931 |    2 | 661895003  |  
 3338869880 | OOPT-GEX334.03-OGM2 | 33403002 |    75 |    74.137931 |    3 | 661895003  |  
 3338869880 | OOPT-GEX334.03-OGM2 | 33403003 |    75 |    74.137931 |    1 | 661895003  |  
 3338869880 | OOPT-GEX334.03-OGM2 | 33403003 |    75 |    74.137931 |    2 | 661895003  |  
 3338869880 | OOPT-GEX334.03-OGM2 | 33403003 |    75 |    74.137931 |    3 | 661895003  |  
 3339793401 |                     | 33404002 |   150 |  147.9310344 |    1 |            |  
 3339793401 |                     | 33404002 |   150 |  147.9310344 |    2 |            |  
 3339793401 |                     | 33404002 |   150 |  147.9310344 |    3 |            |  
 3339793401 |                     | 33404003 |   150 |  147.9310344 |    1 |            |  
 3339793401 |                     | 33404003 |   150 |  147.9310344 |    2 |            |  
 3339793401 |                     | 33404003 |   150 |  147.9310344 |    3 |            |  
 3339793401 | OOPT-GEX334.04-OGM1 | 33404002 |    50 |   49.3103448 |    1 | 661924793  |  
 3339793401 | OOPT-GEX334.04-OGM1 | 33404002 |    50 |   49.3103448 |    2 | 661924793  |  
 3339793401 | OOPT-GEX334.04-OGM1 | 33404002 |    50 |   49.3103448 |    3 | 661924793  |  
 3339793401 | OOPT-GEX334.04-OGM1 | 33404003 |    50 |   49.3103448 |    1 | 661924793  |  
 3339793401 | OOPT-GEX334.04-OGM1 | 33404003 |    50 |   49.3103448 |    2 | 661924793  |  
 3339793401 | OOPT-GEX334.04-OGM1 | 33404003 |    50 |   49.3103448 |    3 | 661924793  |  
 3339793401 | OOPT-GEX334.04-OGM2 | 33404002 |   100 |   98.6206896 |    1 | 661924794  |  
 3339793401 | OOPT-GEX334.04-OGM2 | 33404002 |   100 |   98.6206896 |    2 | 661924794  |  
 3339793401 | OOPT-GEX334.04-OGM2 | 33404002 |   100 |   98.6206896 |    3 | 661924794  |  
 3339793401 | OOPT-GEX334.04-OGM2 | 33404003 |   100 |   98.6206896 |    1 | 661924794  |  
 3339793401 | OOPT-GEX334.04-OGM2 | 33404003 |   100 |   98.6206896 |    2 | 661924794  |  
 3339793401 | OOPT-GEX334.04-OGM2 | 33404003 |   100 |   98.6206896 |    3 | 661924794  |  
 3340716922 |                     | 33405002 |   150 |  147.9310344 |    1 |            |  
 3340716922 |                     | 33405002 |   150 |  147.9310344 |    2 |            |  
 3340716922 |                     | 33405002 |   150 |  147.9310344 |    3 |            |  
 3340716922 |                     | 33405003 |   150 |  147.9310344 |    1 |            |  
 3340716922 |                     | 33405003 |   150 |  147.9310344 |    2 |            |  
