 ordergroup |  ordergroupmember   |    item    | exception |    exceptiondate    |                              descr                              |   source   |    dest    | transmode  
------------+---------------------+------------+-----------+---------------------+-----------------------------------------------------------------+------------+------------+------------
 14428008   |                     |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3187054250 | 14417313   | 2156130192
 14428008   | OOPT-FBK414.21-OGM1 |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3187054250 | 14417313   | 2156130192
 14428008   | OOPT-FBK414.21-OGM1 | 1072639488 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3187054250 | 14417313   | 2156130192
 14428008   | OOPT-FBK414.21-OGM1 | 1072639489 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3187054250 | 14417313   | 2156130192
 14428008   | OOPT-FBK414.21-OGM1 | 1072639490 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3187054250 | 14417313   | 2156130192
 14428008   | OOPT-FBK414.21-OGM2 |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3187054250 | 14417313   | 2156130192
 14428008   | OOPT-FBK414.21-OGM2 | 1072639491 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3187054250 | 14417313   | 2156130192
 14428008   | OOPT-FBK414.21-OGM2 | 1072639492 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3187054250 | 14417313   | 2156130192
 14428008   | OOPT-FBK414.21-OGM2 | 1072639493 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3187054250 | 14417313   | 2156130192
 15351529   |                     |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3187084041 | 15340834   | 1645596017
 15351529   | OOPT-FBK414.22-OGM2 |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3187084041 | 15340834   | 1645596017
 15351529   | OOPT-FBK414.22-OGM2 | 1072640452 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3187084041 | 15340834   | 1645596017
 15351529   | OOPT-FBK414.22-OGM2 | 1072640453 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3187084041 | 15340834   | 1645596017
 15351529   | OOPT-FBK414.22-OGM2 | 1072640454 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3187084041 | 15340834   | 1645596017
 4252137000 |                     |            |      4051 | 2006-10-31 00:00:00 | Order Status is Due                                             | 3185207208 | 4252126305 | 3744478094
 4252137000 |                     |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3185207208 | 4252126305 | 3744478094
 4252137000 |                     |            |      4051 | 2006-11-02 00:00:00 | Order Status is Due                                             | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 |            |      4051 | 2006-10-31 00:00:00 | Order Status is Due                                             | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 |            |      4051 | 2006-11-02 00:00:00 | Order Status is Due                                             | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 | 1072579906 |      4202 | 2006-10-31 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 | 1072579906 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 | 1072579906 |      4202 | 2006-11-02 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 | 1072579907 |      4202 | 2006-10-31 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 | 1072579907 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 | 1072579907 |      4202 | 2006-11-02 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 | 1072579908 |      4202 | 2006-10-31 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 | 1072579908 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM1 | 1072579908 |      4202 | 2006-11-02 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 |            |      4051 | 2006-10-31 00:00:00 | Order Status is Due                                             | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 |            |      4051 | 2006-11-02 00:00:00 | Order Status is Due                                             | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 | 1072579909 |      4202 | 2006-10-31 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 | 1072579909 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 | 1072579909 |      4202 | 2006-11-02 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 | 1072579910 |      4202 | 2006-10-31 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 | 1072579910 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 | 1072579910 |      4202 | 2006-11-02 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 | 1072579911 |      4202 | 2006-10-31 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 | 1072579911 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4252137000 | OOPT-FBK414.01-OGM2 | 1072579911 |      4202 | 2006-11-02 00:00:00 | SKU at Risk                                                     | 3185207208 | 4252126305 | 3744478094
 4253060521 |                     |            |      4051 | 2006-10-31 00:00:00 | Order Status is Due                                             | 3185236999 | 4253049826 | 3233943917
 4253060521 |                     |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3185236999 | 4253049826 | 3233943917
 4253060521 |                     |            |      4051 | 2006-11-02 00:00:00 | Order Status is Due                                             | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 |            |      4051 | 2006-10-31 00:00:00 | Order Status is Due                                             | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 |            |      4051 | 2006-11-02 00:00:00 | Order Status is Due                                             | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 | 1072580867 |      4202 | 2006-10-31 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 | 1072580867 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 | 1072580867 |      4202 | 2006-11-02 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 | 1072580868 |      4202 | 2006-10-31 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 | 1072580868 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 | 1072580868 |      4202 | 2006-11-02 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 | 1072580869 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM1 | 1072580869 |      4202 | 2006-11-02 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM2 |            |      4051 | 2006-10-31 00:00:00 | Order Status is Due                                             | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM2 |            |      4051 | 2006-11-01 00:00:00 | Order Status is Due                                             | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM2 |            |      4051 | 2006-11-02 00:00:00 | Order Status is Due                                             | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM2 | 1072580870 |      4202 | 2006-11-01 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM2 | 1072580870 |      4202 | 2006-11-02 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
 4253060521 | OOPT-FBK414.02-OGM2 | 1072580871 |      4202 | 2006-10-31 00:00:00 | SKU at Risk                                                     | 3185236999 | 4253049826 | 3233943917
