    item    |   dest    |   source   | soq |      arrivdate      | transmode  |    ordercovdate     |     mincovdate      |   orderpointdate    | orderpointssqty | orderpointprojoh | status |    adjskucovdate    | orderuptoleveldate  | orderuptolevelssqty | orderuptolevelprojoh |   unroundedsoq   | delaydur | soqcovdur |    systemsoq     |       expdate       | restrictedsoqcovdate |  soqrestriction  | unrestrictedsoq | orderplacedateprojoh | orderpointavailsupply | orderuptolevelavailsupply | orderpointadjreasons | orderuptoleveladjreasons | supporderqty | calcsoqsw | finalunitcost | ordergroup |  ordergroupmember   | orderplacessdisplayqty | orderpointssdisplayqty | orderuptolevelssdisplayqty | sourceinvstatus | unconstrsoq | oh  |       ohpost        |      sourcing      
------------+-----------+------------+-----+---------------------+------------+---------------------+---------------------+---------------------+-----------------+------------------+--------+---------------------+---------------------+---------------------+----------------------+------------------+----------+-----------+------------------+---------------------+----------------------+------------------+-----------------+----------------------+-----------------------+---------------------------+----------------------+--------------------------+--------------+-----------+---------------+------------+---------------------+------------------------+------------------------+----------------------------+-----------------+-------------+-----+---------------------+--------------------
 2767205770 | 700011053 | 4179001502 |  98 | 2006-11-01 00:00:00 | 2599455620 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |               0 |              -98 |      0 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |                   0 |                  -98 |               98 |        0 |     12960 |               98 | 1970-01-01 00:00:00 | 1970-01-01 00:00:00  |                0 |              98 |                    0 |                     0 |                         0 |                    0 |                        0 |            0 |         1 |             0 | 700021748  | OOPT-DCR100.01-OGM1 |                      0 |                      0 |                          0 |               1 |          98 |   0 | 2006-10-30 00:00:00 | SOURCING2599455620
 2767205771 | 700011053 | 4179001502 |  46 | 2006-11-01 00:00:00 | 2599455620 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |               0 |              -46 |      0 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |                   0 |                  -46 |               46 |        0 |     12960 |               46 | 1970-01-01 00:00:00 | 1970-01-01 00:00:00  |                0 |              46 |                    0 |                     0 |                         0 |                    0 |                        0 |            0 |         1 |             0 | 700021748  | OOPT-DCR100.01-OGM1 |                      0 |                      0 |                          0 |               1 |          46 |   0 | 2006-10-30 00:00:00 | SOURCING2599455620
 2767205772 | 700011053 | 4179001502 |  57 | 2006-11-01 00:00:00 | 2599455620 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |               0 |              -57 |      0 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |                   0 |                  -57 |               57 |        0 |     12960 |               57 | 1970-01-01 00:00:00 | 1970-01-01 00:00:00  |                0 |              57 |                    0 |                     0 |                         0 |                    0 |                        0 |            0 |         1 |             0 | 700021748  | OOPT-DCR100.01-OGM1 |                      0 |                      0 |                          0 |               1 |          57 |   0 | 2006-10-30 00:00:00 | SOURCING2599455620
 2767205773 | 700011053 | 4179001502 |  57 | 2006-11-01 00:00:00 | 2599455620 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |               0 |              -57 |      0 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |                   0 |                  -57 |               57 |        0 |     12960 |               57 | 1970-01-01 00:00:00 | 1970-01-01 00:00:00  |                0 |              57 |                    0 |                     0 |                         0 |                    0 |                        0 |            0 |         1 |             0 | 700021748  | OOPT-DCR100.01-OGM1 |                      0 |                      0 |                          0 |               1 |          57 |   0 | 2006-10-30 00:00:00 | SOURCING2599455620
 2767205774 | 700011053 | 4179001502 |  26 | 2006-11-01 00:00:00 | 2599455620 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |               0 |              -26 |      0 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |                   0 |                  -26 |               26 |        0 |     12960 |               26 | 1970-01-01 00:00:00 | 1970-01-01 00:00:00  |                0 |              26 |                    0 |                     0 |                         0 |                    0 |                        0 |            0 |         1 |             0 | 700021748  | OOPT-DCR100.01-OGM1 |                      0 |                      0 |                          0 |               1 |          26 |   0 | 2006-10-30 00:00:00 | SOURCING2599455620
 2767205775 | 700011053 | 4179001502 |  28 | 2006-11-01 00:00:00 | 2599455620 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |               0 |              -28 |      0 | 2006-11-08 00:00:00 | 2006-11-10 00:00:00 |                   0 |                  -28 |               28 |        0 |     12960 |               28 | 1970-01-01 00:00:00 | 1970-01-01 00:00:00  |                0 |              28 |                    0 |                     0 |                         0 |                    0 |                        0 |            0 |         1 |             0 | 700021748  | OOPT-DCR100.01-OGM1 |                      0 |                      0 |                          0 |               1 |          28 |   0 | 2006-10-30 00:00:00 | SOURCING2599455620
 2767206731 | 700934574 | 4179031293 |  74 | 2006-11-01 00:00:00 | 2088921445 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |               0 |              -74 |      0 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |                   0 |                  -74 |               74 |        0 |     10080 |               74 | 1970-01-01 00:00:00 | 1970-01-01 00:00:00  |                0 |              74 |                    0 |                     0 |                         0 |                    0 |                        0 |            0 |         1 |             0 | 700945269  | OOPT-DCR100.02-OGM1 |                      0 |                      0 |                          0 |               1 |          74 |   0 | 2006-10-30 00:00:00 | SOURCING2088921445
 2767206732 | 700934574 | 4179031293 |  28 | 2006-11-01 00:00:00 | 2088921445 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |               0 |              -28 |      0 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |                   0 |                  -28 |               28 |        0 |     10080 |               28 | 1970-01-01 00:00:00 | 1970-01-01 00:00:00  |                0 |              28 |                    0 |                     0 |                         0 |                    0 |                        0 |            0 |         1 |             0 | 700945269  | OOPT-DCR100.02-OGM1 |                      0 |                      0 |                          0 |               1 |          28 |   0 | 2006-10-30 00:00:00 | SOURCING2088921445
 2767206733 | 700934574 | 4179031293 |  51 | 2006-11-01 00:00:00 | 2088921445 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |               0 |              -51 |      0 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |                   0 |                  -51 |               51 |        0 |     10080 |               51 | 1970-01-01 00:00:00 | 1970-01-01 00:00:00  |                0 |              51 |                    0 |                     0 |                         0 |                    0 |                        0 |            0 |         1 |             0 | 700945269  | OOPT-DCR100.02-OGM1 |                      0 |                      0 |                          0 |               1 |          51 |   0 | 2006-10-30 00:00:00 | SOURCING2088921445
